Feature,Importance
num__Laps,0.3085060163250546
num__Start,0.14079801272509504
num__Track_Historical_Avg_Finish,0.0858415506714559
num__Driver_Last5_Avg_Finish,0.07232844627405864
num__Season,0.0561015734818282
cat__Surface_paved,0.03837982065639194
num__Length,0.031504902050583365
num__Driver_Historical_Avg_Finish,0.027341157365207217
num__Team_Historical_Avg_Finish,0.026219698766569304
num__Make_Historical_Avg_Finish,0.021049616094734363
num__Race,0.01979920893573593
num__Driver_Experience,0.01929556230790364
cat__Series_Cup,0.015615920020077221
num__Driver_Historical_Avg_Rating,0.012721007108947843
num__Car,0.012064892393232263
cat__Series_Truck,0.011433428423840807
cat__Track_Daytona International Speedway,0.004313938013202591
cat__Track_Type_Intermediate,0.004293050021834835
cat__Series_NXS,0.00428887165217027
cat__Track_Pocono Raceway,0.0034753139500012676
cat__Track_Darlington Raceway,0.0033783284751860007
cat__Track_Charlotte Motor Speedway,0.0021282143082797292
cat__Track_Rockingham Speedway,0.001976480357641909
cat__Track_Type_Superspeedway,0.001604452073906323
cat__Surface_road,0.0015453144363533813
cat__Track_Dover International Speedway,0.0014273623674328744
cat__Make_Chevrolet,0.0013782703104558633
cat__Make_Ford,0.00117972694094431
cat__Track_Atlanta Motor Speedway,0.0011754915409653705
cat__Track_Type_Short Track,0.001083885988415035
cat__Track_Bristol Motor Speedway,0.0009916835580844683
cat__Track_Talladega Superspeedway,0.0009334652815181165
cat__Track_Texas Motor Speedway,0.0008851056626395121
cat__Track_Riverside International Raceway,0.0008439847032575146
cat__Track_Richmond Raceway,0.0008316046827713448
cat__Track_Martinsville Speedway,0.0008113913455529859
cat__Team_,0.0007220635156976753
cat__Track_Auto Club Speedway,0.0007096574107355798
cat__Start_Category_Mid,0.0006971287930091867
cat__Track_Phoenix Raceway,0.0006938431700345259
cat__Surface_dirt,0.0006779782796820109
cat__Make_Dodge,0.0006717693349677067
cat__Track_Daytona Beach & Road Course,0.0006532462462721398
cat__Team_Richard Childress Racing,0.0005724392169099654
cat__Track_Michigan International Speedway,0.000564744149768726
cat__Track_New Hampshire Motor Speedway,0.0005643908504678445
cat__Team_Hendrick Motorsports,0.0005531909791846927
cat__Make_Pontiac,0.0005501865703006737
cat__Track_Nashville Superspeedway,0.0005192047791543581
cat__Make_Toyota,0.0004846665579735701
cat__Team_Joe Gibbs Racing,0.00047298948110850215
cat__Start_Category_Front,0.00043996711033380756
cat__Track_Indianapolis Motor Speedway,0.00042812221632146407
cat__Team_Roush Racing,0.0004268867517461566
cat__Track_Kansas Speedway,0.0004205137323149887
cat__Track_World Wide Technology Raceway at Gateway,0.0004175349325307712
cat__Start_Category_Back,0.00041063427355158573
cat__Track_Las Vegas Motor Speedway,0.00040992292943938197
cat__Track_Watkins Glen International,0.0004065754706292365
cat__Track_Autodromo Hermanos Rodriguez,0.0003719956842083243
cat__Team_Roush Fenway Racing,0.0003464599981693501
cat__Team_Stewart-Haas Racing,0.0003276424909134167
cat__Track_Kentucky Speedway,0.0003242714021902198
cat__Team_Chip Ganassi Racing,0.00029843497934462876
cat__Track_Sonoma Raceway,0.00028841376886784776
cat__Track_Homestead-Miami Speedway,0.0002864093306846264
cat__Track_Chicago Street Course,0.000284883033206869
cat__Make_Oldsmobile,0.0002805878665811675
cat__Track_Charlotte Motor Speedway Road Course,0.00027112033994040186
cat__Driver_Greg Biffle,0.0002654679644724927
cat__Track_Daytona International Speedway Road Course,0.0002632431088046847
cat__Driver_Matt Kenseth,0.00026163453452611164
cat__Track_Naval Base Coronado,0.00025819726754983406
cat__Driver_Denny Hamlin,0.00025547877739837306
cat__Driver_Kevin Harvick,0.00024249272017855866
cat__Track_Nashville Speedway,0.00023832325624636132
cat__Track_North Wilkesboro Speedway,0.0002374435781238435
cat__Driver_Kurt Busch,0.00023656447030954506
cat__Driver_Jimmie Johnson,0.00023180434739295206
cat__Track_Chicagoland Speedway,0.00023010671528318814
cat__Team_Dale Earnhardt Inc.,0.00022305069284302937
cat__Track_Langhorne Speedway,0.00021929701683699265
cat__Driver_Ryan Newman,0.00021916650615956722
cat__Driver_Bobby Labonte,0.0002112898749225819
cat__Team_Wood Brothers Racing,0.00021007104634152734
cat__Driver_Joey Logano,0.00020241056966158058
cat__Team_Robert Yates Racing,0.00020154073072062387
cat__Team_Penske Racing South,0.00019599320447510934
cat__Driver_Jeff Gordon,0.00019500308693035358
cat__Driver_Clint Bowyer,0.00019400363324021113
cat__Team_JTG Daugherty Racing,0.0001927847376300608
cat__Driver_Ken Schrader,0.00019238757136915368
cat__Make_Buick,0.00019167524562323351
cat__Driver_Jeff Burton,0.0001906873898375989
cat__Track_Raleigh Speedway,0.00019034265838050712
cat__Team_Team Penske,0.0001896722344934941
cat__Driver_Tony Stewart,0.00018559724726039433
cat__Team_Kaulig Racing,0.00018468700409490305
cat__Driver_Austin Dillon,0.00018243655892486157
cat__Driver_Mark Martin,0.0001821425407661839
cat__Driver_Kasey Kahne,0.0001821287538790511
cat__Driver_Dale Earnhardt Jr.,0.00017776528428829823
cat__Team_Penske Racing,0.00017147077609444368
cat__Driver_Brad Keselowski,0.00017010006401501737
cat__Team_JR Motorsports,0.00016869121856553002
cat__Driver_Dale Jarrett,0.0001675552002619095
cat__Team_Bill Davis Racing,0.0001623266219303707
cat__Driver_Jamie McMurray,0.00016200326101205187
cat__Team_Front Row Motorsports,0.00016108757648313266
cat__Track_Memphis-Arkansas Speedway,0.00015997532147662448
cat__Driver_Aric Almirola,0.00015897835109270596
cat__Track_Occoneechee Speedway,0.00015816402564188534
cat__Driver_Sterling Marlin,0.00015814522968505464
cat__Team_Petty Enterprises,0.00015718192903847042
cat__Driver_William Byron,0.00015419963915662708
cat__Track_Michigan State Fairgrounds,0.00015319950692924958
cat__Team_Richard Petty Motorsports,0.00015269249500774322
cat__Driver_Carl Edwards,0.0001486187656504984
cat__Driver_Elliott Sadler,0.00014827960002283862
cat__Track_Lucas Oil Indianapolis Raceway Park,0.0001462264412825529
cat__Driver_Michael Waltrip,0.00014591344711696827
cat__Driver_Kyle Larson,0.00014545555522685774
cat__Driver_Casey Mears,0.00014542167194028907
cat__Driver_Kyle Busch,0.00014487962236906256
cat__Team_Ernest Woods (Owner),0.00014434565477012694
cat__Team_Evernham Motorsports,0.00014329900305851942
cat__Driver_Ross Chastain,0.0001417130364374656
cat__Track_The Milwaukee Mile,0.00014117497969002706
cat__Driver_Ricky Stenhouse Jr.,0.00014100984759409391
cat__Team_RFK Racing,0.00013956111241082494
cat__Driver_Reed Sorenson,0.00013954829545822714
cat__Driver_Bill Elliott,0.00013795335476691426
cat__Driver_Joe Nemechek,0.00013742035127439154
cat__Driver_Ricky Rudd,0.0001342633780589202
cat__Driver_Bubba Wallace,0.00013326557882695051
cat__Driver_Johnny Sauter,0.00013303161280389338
cat__Driver_Dave Blaney,0.00012717089443216705
cat__Track_Hickory Speedway,0.0001257637047571673
cat__Driver_Todd Bodine,0.00012471320886288154
cat__Driver_Robby Gordon,0.00012463764239535328
cat__Driver_Christopher Bell,0.00012359488079208687
cat__Driver_A.J. Allmendinger,0.00012339726829044888
cat__Driver_David Ragan,0.000122961947674379
cat__Team_Michael Waltrip Racing,0.00012171536391009062
cat__Driver_Ernie Irvan,0.00012080546657141369
cat__Track_Oxford Plains Speedway,0.00012052733867023416
cat__Driver_Trevor Bayne,0.00012021433879913265
cat__Driver_Martin Truex Jr.,0.0001201493370919704
